"Ajatempel","Kasutajanimi","Nimi","Klass","2. periood hommik 1. valik","2. periood hommik 2. valik","2. periood hommik 3. valik","2. periood õhtu 1. valik","2. periood õhtu 2. valik","2. periood õhtu 3. valik","3. periood hommik 1. valik","3. periood hommik 2. valik","3. periood hommik 3. valik","3. periood õhtu 1. valik","3. periood õhtu 2. valik","3. periood õhtu 3. valik","4. periood hommik 1. valik","4. periood hommik 2. valik","4. periood hommik 3. valik","4. periood õhtu 1. valik","4. periood õhtu 2. valik","4. periood õhtu 3. valik","5. periood hommik 1. valik","5. periood hommik 2. valik","5. periood hommik 3. valik","5. periood õhtu 1. valik","5. periood õhtu 2. valik","5. periood õhtu 3. valik"
"2020/07/08 4:51:29 PM GMT +3","CQrazff@fakegmail.com","Kayla 13","12","Joonestamine 2. periood","Värvus ja kompositsioon","Joonestamine 2. periood","Inimene ja õigus","Astronoomia","Ei taha","Natuurist joonistamine","Loovkirjutamine","Küberkaitse 1","Vaimne tervis ja selle hoidmine","Turundus","Ettevõtlusõpe 3. periood","Praktiline kommunikatsioon","Loomade käitumine 4. periood","Kujutav geomeetria","Majandusõpe","Teater Vanemuise kultuuritänavas","Riigikaitse 1","Programmeerimine keeles Java 2","Ettevõtlusõpe 5. periood","Ettevõtlusõpe 5. periood","Riigikaitse 2","Karjääriõpetus","Ajakirjanduse praktika"
"2020/07/08 4:51:34 PM GMT +3","KvsZfRQ@fakegmail.com","Madison 14","11","Programmeerimine keeles Python 1 hommikul","Globaliseeruv maailm","Ei taha","Linux Raspberry Pi näitel","Meediakursus","Meediakursus","Muusikaline kirjaoskus","Küberkaitse 1","Astrofüüsika 3. periood","Statistiline maailmapilt","Keskkonnakeemia 3. periood","Ettevõtlusõpe 3. periood","Ei taha","Praktiline kommunikatsioon","Joonestamine 4. periood","Psühholoogia alused","Teater Vanemuise kultuuritänavas","Millest ELU koosneb?","Raamatukunst","Majandusmatemaatika elemendid","Ei taha","CAD joonestamine","Teadusajalugu 5. periood","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 4:51:39 PM GMT +3","HweOFGj@fakegmail.com","Kayla 15","12","Geoinformaatika","Ei taha","Globaliseeruv maailm","Õpioskused","Meediakursus","Hiina keel 1","3D-modelleerimine 3. periood","Küberkaitse 1","Natuurist joonistamine","Veebidisain","Fotograafia 1","Inimene ja ühiskond 3. periood","Klassikaline skulptuur","Loominguline joonistamine 2","Kujutav geomeetria","Millest ELU koosneb?","Arvutivõrkude alused","Millest ELU koosneb?","Liiklusfüüsika","Ettevõtlusõpe 5. periood","Programmeerimine keeles Java 2","Teadusajalugu 5. periood","Ei taha","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 4:51:44 PM GMT +3","qgJZlId@fakegmail.com","Hannah 16","11","Orgaaniline arhitektuur","Programmeerimine keeles Python 1 hommikul","Loominguline joonestamine 1","Ei taha","Õpioskused","Labortöid füüsikas 10. ja 11. klassile","Filosoofia 1","Astrofüüsika 3. periood","Filosoofia 1","Ettevõtlusõpe 3. periood","Sissejuhatus ehitusinseneeriasse","Veebidisain","Kasutame füüsikat!","Matemaatika ajaloo elemente ja rakendusi","Ei taha","Teater Vanemuise kultuuritänavas","Psühholoogia alused","Teater Vanemuise kultuuritänavas","Ettevõtlusõpe 5. periood","Globaalne keskkond","Programmeerimine keeles Java 2","Projektikirjutamisõpe","CAD joonestamine","Karjääriõpetus"
"2020/07/08 4:51:49 PM GMT +3","NCbDqHr@fakegmail.com","Taylor 17","11","Geoinformaatika","Värvus ja kompositsioon","Orgaaniline arhitektuur","Linux Raspberry Pi näitel","Meediakursus","Hiina keel 1","Ladina keel 1","3D-modelleerimine 3. periood","Programmeerimine keeles Java 1","Vaimne tervis ja selle hoidmine","Keskkonnakeemia 3. periood","Turundus","Kujutav geomeetria","Köögifüüsika","Kujutav geomeetria","Meditsiinikursus","Millest ELU koosneb?","Meditsiinikursus","Raamatukunst","Raamatukunst","Majandusmatemaatika elemendid","CAD joonestamine","CAD joonestamine","Ajakirjanduse praktika"
"2020/07/08 4:51:54 PM GMT +3","QVgPDon@fakegmail.com","Samantha 18","11","Finantsmõtlemine","Geoinformaatika","Finantsmõtlemine","Soome keel 1","Linux Raspberry Pi näitel","Linux Raspberry Pi näitel","Filosoofia 1","Loovkirjutamine","Loovkirjutamine","Veebidisain","Turundus","Statistiline maailmapilt","Loomade käitumine 4. periood","Praktiline kommunikatsioon","Ei taha","Arvutivõrkude alused","Riigikaitse 1","Ei taha","Raamatukunst","Programmeerimine keeles Java 2","Programmeerimine keeles Java 2","Ajakirjanduse praktika","Ei taha","CAD joonestamine"
"2020/07/08 4:51:59 PM GMT +3","AbTakjG@fakegmail.com","Alyssa 19","12","Kirjandus ja film","Loominguline joonestamine 1","Programmeerimine keeles Python 1 hommikul","Inimene ja õigus","Meediakursus","Prantsuse keel 1","Loomade käitumine 3. periood","Loomade käitumine 3. periood","Ajakirjanduse alused","Statistiline maailmapilt","Fotograafia 1","Vaimne tervis ja selle hoidmine","Loomade käitumine 4. periood","Matemaatika ajaloo elemente ja rakendusi","Köögifüüsika","Inimene ja ühiskond 4. periood","Millest ELU koosneb?","Riigikaitse 1","Majandusmatemaatika elemendid","Ei taha","Globaalne keskkond","Mobiilirakenduste loomine (APP Inventor)","Ajakirjanduse praktika","Teadusajalugu 5. periood"
"2020/07/08 4:52:03 PM GMT +3","UGGrKMu@fakegmail.com","Samantha 20","10","Joonestamine 2. periood","Keskkonnakeemia 2. periood","Geoinformaatika","Inimene ja õigus","Hispaania keel 1","Inimene ja õigus","Küberkaitse 1","Astrofüüsika 3. periood","Natuurist joonistamine","Fotograafia 1","Ei taha","Arvutite riistvara ja lisaseadmed","Loomade käitumine 4. periood","Programmeerimine keeles Python 2","Matemaatika ajaloo elemente ja rakendusi","Millest ELU koosneb?","Psühholoogia alused","Ei taha","Raamatukunst","Ettevõtlusõpe 5. periood","3D-modelleerimine 5. periood","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2","CAD joonestamine"
"2020/07/08 4:52:08 PM GMT +3","hRrNOQt@fakegmail.com","Olivia 21","11","Joonestamine 2. periood","Finantsmõtlemine","Ei taha","Soome keel 1","Soome keel 1","Soome keel 1","Keemilised elemendid","Keemilised elemendid","Ei taha","Vaimne tervis ja selle hoidmine","Sissejuhatus ehitusinseneeriasse","Teadusajalugu 3. periood","Kasutame füüsikat!","Klassikaline skulptuur","Loodusteadused, tehnoloogia ja ühiskond","Inimene ja ühiskond 4. periood","Teater Vanemuise kultuuritänavas","Meditsiinikursus","Ei taha","Globaalne keskkond","Globaalne keskkond","CAD joonestamine","Karjääriõpetus","Riigikaitse 2"
"2020/07/08 4:52:13 PM GMT +3","ujLtJYw@fakegmail.com","Grace 22","10","Orgaaniline arhitektuur","Loominguline joonestamine 1","Joonestamine 2. periood","Meediakursus","Õpioskused","Hispaania keel 1","Astrofüüsika 3. periood","Programmeerimine keeles Java 1","3D-modelleerimine 3. periood","Fotograafia 1","Keskkonnakeemia 3. periood","Arvutite riistvara ja lisaseadmed","Ei taha","Köögifüüsika","Matemaatika ajaloo elemente ja rakendusi","Arvutivõrkude alused","Meditsiinikursus","Riigikaitse 1","Filosoofia 2","Globaalne keskkond","Laboratoorsed tööd bioloogias","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2","Ei taha"
"2020/07/08 4:52:18 PM GMT +3","XxqSKph@fakegmail.com","Jessica 23","12","Loominguline joonestamine 1","Värvus ja kompositsioon","Orgaaniline arhitektuur","Hispaania keel 1","Inimene ja õigus","Linux Raspberry Pi näitel","Ajakirjanduse alused","Natuurist joonistamine","Loovkirjutamine","Veebidisain","Arvutite riistvara ja lisaseadmed","Teadusajalugu 3. periood","Köögifüüsika","Joonestamine 4. periood","Kujutav geomeetria","Teater Vanemuise kultuuritänavas","Ei taha","Majandusõpe","Tänavakunst","3D-modelleerimine 5. periood","Majandusmatemaatika elemendid","Ajakirjanduse praktika","Karjääriõpetus","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 4:52:22 PM GMT +3","PWcYdVL@fakegmail.com","Madison 24","12","Orgaaniline arhitektuur","Kirjandus ja film","Värvus ja kompositsioon","Labortöid füüsikas 10. ja 11. klassile","Prantsuse keel 1","Prantsuse keel 1","Küberkaitse 1","Natuurist joonistamine","3D-modelleerimine 3. periood","Ei taha","Keskkonnakeemia 3. periood","Fotograafia 1","Praktiline kommunikatsioon","Kasutame füüsikat!","Loomade käitumine 4. periood","Inimene ja ühiskond 4. periood","Arvutivõrkude alused","Millest ELU koosneb?","Raamatukunst","Tänavakunst","Filosoofia 2","Mobiilirakenduste loomine (APP Inventor)","CAD joonestamine","Projektikirjutamisõpe"
"2020/07/08 5:00:34 PM GMT +3","XAcDLnl@fakegmail.com","Emma 25","12","Astrofüüsika 2. periood","Joonestamine 2. periood","Joonestamine 2. periood","Linux Raspberry Pi näitel","Inimene ja õigus","Hiina keel 1","Ei taha","Keemilised elemendid","Küberkaitse 1","Ei taha","Ei taha","Fotograafia 1","Klassikaline skulptuur","Programmeerimine keeles Python 2","Praktiline kommunikatsioon","Inimene ja ühiskond 4. periood","Majandusõpe","Riigikaitse 1","Ei taha","Tänavakunst","Tänavakunst","Ajakirjanduse praktika","Riigikaitse 2","Ei taha"
"2020/07/08 5:00:38 PM GMT +3","BIisKwZ@fakegmail.com","Taylor 26","11","Globaliseeruv maailm","Loogika 2. periood","Värvus ja kompositsioon","Inimene ja õigus","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Programmeerimine keeles Python 1 õhtul","Küberkaitse 1","Loovkirjutamine","Programmeerimine keeles Java 1","Arvutite riistvara ja lisaseadmed","Arvutite riistvara ja lisaseadmed","Keskkonnakeemia 3. periood","Loominguline joonistamine 2","Loomade käitumine 4. periood","Joonestamine 4. periood","Teater Vanemuise kultuuritänavas","Teater Vanemuise kultuuritänavas","Ei taha","Globaalne keskkond","Liiklusfüüsika","Liiklusfüüsika","Karjääriõpetus","Ei taha","Riigikaitse 2"
"2020/07/08 5:00:43 PM GMT +3","Xulgzxn@fakegmail.com","Samantha 27","12","Geoinformaatika","Planimeetria alused","Geoinformaatika","Inimene ja õigus","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Õpioskused","Keemilised elemendid","Natuurist joonistamine","Küberkaitse 1","Ettevõtlusõpe 3. periood","Veebidisain","Ei taha","Joonestamine 4. periood","Loominguline joonistamine 2","Ei taha","Inimene ja ühiskond 4. periood","Meditsiinikursus","Arvutivõrkude alused","Filosoofia 2","Raamatukunst","3D-modelleerimine 5. periood","Teadusajalugu 5. periood","Riigikaitse 2","Ei taha"
"2020/07/08 5:00:48 PM GMT +3","NHnsEpa@fakegmail.com","Emma 28","12","Globaliseeruv maailm","Ei taha","Globaliseeruv maailm","Labortöid füüsikas 10. ja 11. klassile","Linux Raspberry Pi näitel","Inimene ja õigus","Loomade käitumine 3. periood","3D-modelleerimine 3. periood","Küberkaitse 1","Ettevõtlusõpe 3. periood","Ei taha","Inimene ja ühiskond 3. periood","Programmeerimine keeles Python 2","Praktiline kommunikatsioon","Kujutav geomeetria","Majandusõpe","Arvutivõrkude alused","Riigikaitse 1","Filosoofia 2","Programmeerimine keeles Java 2","Liiklusfüüsika","CAD joonestamine","CAD joonestamine","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:00:52 PM GMT +3","FrHoBSH@fakegmail.com","Lauren 29","10","Finantsmõtlemine","Geoinformaatika","Joonestamine 2. periood","Meediakursus","Meediakursus","Hiina keel 1","Astrofüüsika 3. periood","Ladina keel 1","Natuurist joonistamine","Teadusajalugu 3. periood","Vaimne tervis ja selle hoidmine","Statistiline maailmapilt","Programmeerimine keeles Python 2","Matemaatika ajaloo elemente ja rakendusi","Klassikaline skulptuur","Meditsiinikursus","Inimene ja ühiskond 4. periood","Meditsiinikursus","Ei taha","Ei taha","Majandusmatemaatika elemendid","Mobiilirakenduste loomine (APP Inventor)","Ei taha","Teadusajalugu 5. periood"
"2020/07/08 5:00:57 PM GMT +3","nqBNOhV@fakegmail.com","Grace 30","10","Finantsmõtlemine","Finantsmõtlemine","Keskkonnakeemia 2. periood","Inimene ja õigus","Soome keel 1","Soome keel 1","Ladina keel 1","Loomade käitumine 3. periood","Loovkirjutamine","Sissejuhatus ehitusinseneeriasse","Veebidisain","Sissejuhatus ehitusinseneeriasse","Kujutav geomeetria","Praktiline kommunikatsioon","Kasutame füüsikat!","Millest ELU koosneb?","Majandusõpe","Inimene ja ühiskond 4. periood","Raamatukunst","Majandusmatemaatika elemendid","Globaalne keskkond","Riigikaitse 2","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2"
"2020/07/08 5:01:02 PM GMT +3","XWlfHEw@fakegmail.com","Sarah 31","12","Orgaaniline arhitektuur","Astrofüüsika 2. periood","Globaliseeruv maailm","Soome keel 1","Prantsuse keel 1","Ei taha","Natuurist joonistamine","Ladina keel 1","Programmeerimine keeles Java 1","Veebidisain","Ettevõtlusõpe 3. periood","Fotograafia 1","Loominguline joonistamine 2","Ei taha","Matemaatika ajaloo elemente ja rakendusi","Teater Vanemuise kultuuritänavas","Riigikaitse 1","Ei taha","Raamatukunst","Liiklusfüüsika","Liiklusfüüsika","Teadusajalugu 5. periood","Projektikirjutamisõpe","Ajakirjanduse praktika"
"2020/07/08 5:01:06 PM GMT +3","JJSbDHI@fakegmail.com","Jessica 32","11","Orgaaniline arhitektuur","Värvus ja kompositsioon","Ei taha","Programmeerimine keeles Python 1 õhtul","Õpioskused","Programmeerimine keeles Python 1 õhtul","Loovkirjutamine","3D-modelleerimine 3. periood","Loovkirjutamine","Statistiline maailmapilt","Arvutite riistvara ja lisaseadmed","Keskkonnakeemia 3. periood","Köögifüüsika","Loominguline joonistamine 2","Klassikaline skulptuur","Inimene ja ühiskond 4. periood","Arvutivõrkude alused","Majandusõpe","Tänavakunst","Majandusmatemaatika elemendid","3D-modelleerimine 5. periood","Ei taha","Ajakirjanduse praktika","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:01:11 PM GMT +3","rWOvACn@fakegmail.com","Lauren 33","12","Astrofüüsika 2. periood","Värvus ja kompositsioon","Värvus ja kompositsioon","Labortöid füüsikas 10. ja 11. klassile","Prantsuse keel 1","Meediakursus","Loovkirjutamine","Ajakirjanduse alused","Ladina keel 1","Turundus","Sissejuhatus ehitusinseneeriasse","Veebidisain","Loogika 4. periood","Ei taha","Köögifüüsika","Teater Vanemuise kultuuritänavas","Millest ELU koosneb?","Ei taha","Ettevõtlusõpe 5. periood","Globaalne keskkond","3D-modelleerimine 5. periood","Ei taha","Projektikirjutamisõpe","Teadusajalugu 5. periood"
"2020/07/08 5:01:15 PM GMT +3","pZeWPWg@fakegmail.com","Emily 34","10","Globaliseeruv maailm","Planimeetria alused","Joonestamine 2. periood","Õpioskused","Programmeerimine keeles Python 1 õhtul","Hispaania keel 1","Ei taha","Küberkaitse 1","Programmeerimine keeles Java 1","Veebidisain","Statistiline maailmapilt","Fotograafia 1","Kujutav geomeetria","Kasutame füüsikat!","Programmeerimine keeles Python 2","Psühholoogia alused","Inimene ja ühiskond 4. periood","Meditsiinikursus","Raamatukunst","Filosoofia 2","Majandusmatemaatika elemendid","Teadusajalugu 5. periood","Ei taha","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:01:20 PM GMT +3","vwOCaUr@fakegmail.com","Alexis 35","12","Finantsmõtlemine","Globaliseeruv maailm","Joonestamine 2. periood","Meediakursus","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Ei taha","Astrofüüsika 3. periood","Keemilised elemendid","Ladina keel 1","Fotograafia 1","Veebidisain","Turundus","Kasutame füüsikat!","Programmeerimine keeles Python 2","Kasutame füüsikat!","Ei taha","Millest ELU koosneb?","Millest ELU koosneb?","Ei taha","Tänavakunst","Ettevõtlusõpe 5. periood","Karjääriõpetus","Karjääriõpetus","Teadusajalugu 5. periood"
"2020/07/08 5:01:25 PM GMT +3","MbXlUkc@fakegmail.com","Alexis 36","10","Globaliseeruv maailm","Finantsmõtlemine","Globaliseeruv maailm","Inimene ja õigus","Linux Raspberry Pi näitel","Inimene ja õigus","Muusikaline kirjaoskus","Keemilised elemendid","Natuurist joonistamine","Ettevõtlusõpe 3. periood","Ettevõtlusõpe 3. periood","Ettevõtlusõpe 3. periood","Praktiline kommunikatsioon","Loomade käitumine 4. periood","Matemaatika ajaloo elemente ja rakendusi","Millest ELU koosneb?","Arvutivõrkude alused","Riigikaitse 1","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Filosoofia 2","Ajakirjanduse praktika","Karjääriõpetus","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:01:30 PM GMT +3","DjjrFZa@fakegmail.com","Emily 37","12","Astrofüüsika 2. periood","Loominguline joonestamine 1","Ei taha","Linux Raspberry Pi näitel","Hiina keel 1","Hiina keel 1","Programmeerimine keeles Java 1","Muusikaline kirjaoskus","Loomade käitumine 3. periood","Sissejuhatus ehitusinseneeriasse","Keskkonnakeemia 3. periood","Statistiline maailmapilt","Programmeerimine keeles Python 2","Loomade käitumine 4. periood","Praktiline kommunikatsioon","Millest ELU koosneb?","Millest ELU koosneb?","Meditsiinikursus","Globaalne keskkond","Ei taha","Raamatukunst","Ajakirjanduse praktika","Mobiilirakenduste loomine (APP Inventor)","Karjääriõpetus"
"2020/07/08 5:01:35 PM GMT +3","xzdHhWE@fakegmail.com","Olivia 38","11","Kirjandus ja film","Joonestamine 2. periood","Kirjandus ja film","Labortöid füüsikas 10. ja 11. klassile","Programmeerimine keeles Python 1 õhtul","Meediakursus","Ajakirjanduse alused","Natuurist joonistamine","Loovkirjutamine","Teadusajalugu 3. periood","Sissejuhatus ehitusinseneeriasse","Teadusajalugu 3. periood","Programmeerimine keeles Python 2","Klassikaline skulptuur","Kujutav geomeetria","Meditsiinikursus","Inimene ja ühiskond 4. periood","Teater Vanemuise kultuuritänavas","Programmeerimine keeles Java 2","Programmeerimine keeles Java 2","Liiklusfüüsika","CAD joonestamine","Riigikaitse 2","CAD joonestamine"
"2020/07/08 5:01:40 PM GMT +3","mwMfWlJ@fakegmail.com","Alyssa 39","12","Geoinformaatika","Globaliseeruv maailm","Ei taha","Labortöid füüsikas 10. ja 11. klassile","Astronoomia","Linux Raspberry Pi näitel","Ladina keel 1","Ei taha","Filosoofia 1","Turundus","Turundus","Arvutite riistvara ja lisaseadmed","Klassikaline skulptuur","Praktiline kommunikatsioon","Klassikaline skulptuur","Ei taha","Arvutivõrkude alused","Riigikaitse 1","Majandusmatemaatika elemendid","Globaalne keskkond","Programmeerimine keeles Java 2","Mobiilirakenduste loomine (APP Inventor)","Mobiilirakenduste loomine (APP Inventor)","Ajakirjanduse praktika"
